"cdscode","schedule","district.x","school.x","days1","days2","days3","days4","days5","sum","tkd","kd","first","second","third","fourth","fifth","sixth","tklunch","klunch","onelunch","twolunch","threelunch","fourlunch","fivelunch","sixlunch","tkrec1","krec1","onerec1","tworec1","threerec1","fourrec1","fiverec1","sixrec1","tkrec2","krec2","onerec2","tworec2","threerec2","fourre2","fiverec2","sixrec2","Low Grade","High Grade","Enrollment 
(K-12)","Free Meal 
Count 
(K-12)","Percent (%) 
Eligible Free 
(K-12)","FRPM Count 
(K-12)","Percent (%) 
Eligible FRPM 
(K-12)","Enrollment 
(Ages 5-17)","Free Meal 
Count 
(Ages 5-17)","Percent (%) 
Eligible Free 
(Ages 5-17)","FRPM Count 
(Ages 5-17)","Percent (%) 
Eligible FRPM 
(Ages 5-17)","afriameri","native","asian","filipino","hispanic","notreport","pacisland","multiracial","white","male","female","nonbinary","miss_gen","ell","disability","socioeco","migrant","foster","homeless"
19642126010862,"early release","abc unified","aloha elementary","weds",NA,NA,NA,NA,1,NA,"7:45-13:00","7:45-13:00","7:45-13:00","7:45-13:00","7:45-13:00","7:45-13:00","7:45-13:00",NA,"11:00-11:44","11:00-11:44","11:00-11:44","11:00-11:44","11:00-11:44","11:00-11:44","11:00-11:44",NA,"9:40-9:54","9:40-9:54","9:40-9:54","9:40-9:54","10:00-10:14","10:00-10:14","10:00-10:14",NA,NA,NA,NA,NA,NA,NA,NA,"K","6",316,250,"79.1%",279,"88.3%",270,214,"79.3%",240,"88.9%",63,NA,NA,21,200,NA,NA,19,NA,174,160,NA,NA,50,58,294,46,NA,17
19642126010862,"regular","abc unified","aloha elementary","mon","tues","thurs","fri",NA,4,NA,"7:45-14:00","7:45-14:00","7:45-14:00","7:45-14:00","7:45-14:00","7:45-14:00","7:45-14:00",NA,"11:00-11:44","11:00-11:44","11:00-11:44","11:30-12:14","11:30-12:14","12:00-12:44","12:00-12:44",NA,"9:30-9:54","9:40-9:54","9:40-9:54","9:40-9:54","10:00-10:14","10:00-10:14","10:00-10:14",NA,"12:50-13:00",NA,NA,NA,NA,NA,NA,"K","6",316,250,"79.1%",279,"88.3%",270,214,"79.3%",240,"88.9%",63,NA,NA,21,200,NA,NA,19,NA,174,160,NA,NA,50,58,294,46,NA,17
19642126071369,"regular","abc unified","bragg elementary",NA,NA,NA,NA,NA,0,"7:45-13:37","7:45-13:37","7:45-13:50","7:45-13:50","7:45-13:50","7:45-13:50","7:45-13:50","7:45-13:50","11:00-11:40","11:00-11:40","11:00-11:40","11:00-11:40","11:45-12:25","11:45-12:25","11:45-12:25","11:45-12:25","9:00-9:20","9:00-9:20","9:15-9:35","9:15-9:35","9:40-10:00","9:40-10:00","10:05-10:25","10:05-10:25","13:00-13:20","13:00-13:20",NA,NA,NA,NA,NA,NA,"K","6",623,232,"37.2%",323,"51.8%",548,207,"37.8%",282,"51.5%",58,NA,93,148,205,27,11,65,36,327,318,NA,NA,45,98,352,16,NA,NA
19642126071369,"early release","abc unified","bragg elementary",NA,NA,NA,NA,NA,0,"7:45-12:35","7:45-12:35","7:45-12:45","7:45-12:45","7:45-12:45","7:45-12:45","7:45-12:45","7:45-12:45","11:00-11:40","11:00-11:40","11:00-11:40","11:00-11:40","11:45-12:25","11:45-12:25","11:45-12:25","11:45-12:25","9:00-9:20","9:00-9:20","9:15-9:35","9:15-9:35","9:40-10:00","9:40-10:00","10:05-10:25","10:05-10:25","12:00-12:20","12:00-12:20",NA,NA,NA,NA,NA,NA,"K","6",623,232,"37.2%",323,"51.8%",548,207,"37.8%",282,"51.5%",58,NA,93,148,205,27,11,65,36,327,318,NA,NA,45,98,352,16,NA,NA
19642126010953,"early release","abc unified","burbank (luther) elementary","weds",NA,NA,NA,NA,1,"7:45-13:03","7:45-13:03","7:45-13:03","7:45-13:03","7:45-13:03","7:45-13:03","7:45-13:03","7:45-13:03","11:40-12:25","11:00-11:45","11:00-11:45","11:00-11:45","11:40-12:25","11:40-12:25","12:10-12:55","12:10-12:55","9:35-9:50","9:15-9:30","9:15-9:30","9:15-9:30","9:35-9:50","9:35-9:50","9:55-10:10","9:55-10:10",NA,NA,NA,NA,NA,NA,NA,NA,"K","6",417,246,"59.0%",314,"75.3%",350,204,"58.3%",260,"74.3%",38,NA,87,42,212,18,NA,20,21,228,210,NA,NA,87,71,333,31,NA,NA
19642126010953,"regular","abc unified","burbank (luther) elementary","mon","tues","thurs","fri",NA,4,"7:45-14:03","7:45-14:03","7:45-14:03","7:45-14:03","7:45-14:03","7:45-14:03","7:45-14:03","7:45-14:03","11:40-12:25","11:00-11:45","11:00-11:45","11:00-11:45","11:40-12:25","11:40-12:25","12:10-12:55","12:10-12:55","9:35-9:50","9:15-9:30","9:15-9:30","9:15-9:30","9:35-9:50","9:35-9:50","9:55-10:10","9:55-10:10",NA,NA,NA,NA,NA,NA,NA,NA,"K","6",417,246,"59.0%",314,"75.3%",350,204,"58.3%",260,"74.3%",38,NA,87,42,212,18,NA,20,21,228,210,NA,NA,87,71,333,31,NA,NA
19642126010904,"regular","abc unified","carver (charles j.) elementary",NA,NA,NA,NA,NA,0,"9:15-15:02","9:15-15:02","9:15-15:02","9:15-15:02","9:15-15:02","9:15-15:02","9:15-15:02","9:15-15:02","12:00-12:30","12:35-13:05","12:00-12:30","12:00-12:30","12:35-13:05","12:35-13:05","13:10-13:40","13:10-13:40","10:15-10:30","10:35-10:50","10:35-10:50","10:35-10:50","10:55-11:10","10:55-11:10","11:15-11:30","11:15-11:30",NA,NA,NA,NA,NA,NA,NA,NA,"K","6",469,208,"44.3%",284,"60.6%",404,173,"42.8%",240,"59.4%",41,NA,91,77,214,NA,NA,22,21,256,224,NA,NA,35,59,296,14,NA,NA
19642126010904,"early release","abc unified","carver (charles j.) elementary",NA,NA,NA,NA,NA,0,"9:15-14:02","9:15-14:02","9:15-14:02","9:15-14:02","9:15-14:02","9:15-14:02","9:15-14:02","9:15-14:02","12:00-12:30","12:35-13:05","12:00-12:30","12:00-12:30","12:35-13:05","12:35-13:05","13:10-13:40","13:10-13:40","10:15-10:30","10:35-10:50","10:35-10:50","10:35-10:50","10:55-11:10","10:55-11:10","11:15-11:30","11:15-11:30",NA,NA,NA,NA,NA,NA,NA,NA,"K","6",469,208,"44.3%",284,"60.6%",404,173,"42.8%",240,"59.4%",41,NA,91,77,214,NA,NA,22,21,256,224,NA,NA,35,59,296,14,NA,NA
19642126068274,"regular","abc unified","cerritos elementary",NA,NA,NA,NA,NA,0,NA,"9:00-15:05","9:00-15:05","9:00-15:05","9:00-15:05","9:00-15:05","9:00-15:05","9:00-15:05",NA,"12:40-13:20","12:10-12:50","12:10-12:50","11:40-12:20","11:40-12:20","12:40-13:20","12:40-13:20",NA,"10:40-11:10","10:40-11:00","10:40-11:00","10:20-10:40","10:20-10:40","10:50-11:10","10:50-11:10",NA,NA,NA,NA,NA,NA,NA,NA,"K","6",588,124,"21.1%",198,"33.7%",537,117,"21.8%",184,"34.3%",38,NA,345,81,84,14,NA,24,16,281,324,NA,NA,46,45,211,NA,NA,NA
19642126068274,"early release","abc unified","cerritos elementary",NA,NA,NA,NA,NA,0,NA,"9:00-14:00","9:00-14:00","9:00-14:00","9:00-14:00","9:00-14:00","9:00-14:00","9:00-14:00",NA,"12:40-13:20","12:10-12:50","12:10-12:50","11:40-12:20","11:40-12:20","12:40-13:20","12:40-13:20",NA,"10:40-11:10","10:40-11:00","10:40-11:00","10:20-10:40","10:20-10:40","10:50-11:10","10:50-11:10",NA,NA,NA,NA,NA,NA,NA,NA,"K","6",588,124,"21.1%",198,"33.7%",537,117,"21.8%",184,"34.3%",38,NA,345,81,84,14,NA,24,16,281,324,NA,NA,46,45,211,NA,NA,NA
