"cdscode","schedule","district.x","school.x","days1","days2","days3","days4","days5","sum","tkd","kd","first","second","third","fourth","fifth","sixth","tkrec1","krec1","onerec1","tworec1","threerec1","fourrec1","fiverec1","sixrec1","tklunch","klunch","onelunch","twolunch","threelunch","fourlunch","fivelunch","sixlunch","tkrec2","krec2","onerec2","tworec2","threerec2","fourre2","fiverec2","sixrec2","Low Grade","High Grade","Enrollment 
(K-12)","Free Meal 
Count 
(K-12)","Percent (%) 
Eligible Free 
(K-12)","FRPM Count 
(K-12)","Percent (%) 
Eligible FRPM 
(K-12)","Enrollment 
(Ages 5-17)","Free Meal 
Count 
(Ages 5-17)","Percent (%) 
Eligible Free 
(Ages 5-17)","FRPM Count 
(Ages 5-17)","Percent (%) 
Eligible FRPM 
(Ages 5-17)","afriameri","native","asian","filipino","hispanic","notreport","pacisland","multiracial","white","male","female","nonbinary","ell","disability","socioeco","migrant","foster","homeless"
19642126010862,"regular","abcunified","alohaelementary","mon"," tues"," thurs"," fri",NA,4,"7:45-14:02","7:45-14:02","7:45-14:02","7:45-14:02","7:45-14:02","7:45-14:02","7:45-14:02","7:45-14:02","9:40-9:55","9:40-9:55","9:40-9:55","9:40-9:55","9:40-9:55","10:00-10:15","10:00-10:15","10:00-10:15","11:00-11:45","11:00-11:45","11:00-11:45","11:00-11:45","11:45-12:30","11:45-12:30","12:15-13:00","12:15-13:00","12:50-13:00","12:50-13:00",NA,NA,NA,NA,NA,NA,"K","6",302,235,"77.8%",266,"88.1%",285,222,"77.9%",251,"88.1%",62,NA,12,21,191,NA,NA,21,NA,175,150,NA,43,63,291,49,NA,15
19642126010862,"early release","abcunified","alohaelementary","weds",NA,NA,NA,NA,1,"7:45-13:02","7:45-13:02","7:45-13:02","7:45-13:02","7:45-13:02","7:45-13:02","7:45-13:02","7:45-13:02","9:40-9:55","9:40-9:55","9:40-9:55","9:40-9:55","9:40-9:55","10:00-10:15","10:00-10:15","10:00-10:15","11:00-11:45","11:00-11:45","11:00-11:45","11:00-11:45","11:45-12:30","11:45-12:30","12:15-13:00","12:15-13:00",NA,NA,NA,NA,NA,NA,NA,NA,"K","6",302,235,"77.8%",266,"88.1%",285,222,"77.9%",251,"88.1%",62,NA,12,21,191,NA,NA,21,NA,175,150,NA,43,63,291,49,NA,15
19642126010904,"regular","abcunified","carver(charlesj.)elementary","mon"," tues"," weds"," thurs"," fri",5,"9:15-15:02","9:15-15:02","9:15-15:02","9:15-15:02","9:15-15:02","9:15-15:02","9:15-15:02","9:15-15:02","10:15-10:30","10:35-10:50","10:35-10:50","10:35-10:50","10:55-11:10","10:55-11:10","11:15-11:30","11:15-11:30","11:45-12:15","12:00-12:30","12:00-12:30","12:35-13:05","12:35-13:05","12:35-13:05","13:10-13:40","13:10-13:40","13:45-14:00","14:05-14:20",NA,NA,NA,NA,NA,NA,"K","6",444,186,"41.9%",246,"55.4%",414,176,"42.5%",234,"56.5%",37,NA,93,69,201,15,NA,26,22,232,234,NA,35,75,277,22,NA,NA
19642126010904,"early release","abcunified","carver(charlesj.)elementary",NA,NA,NA,NA,NA,0,"9:15-14:02","9:15-14:02","9:15-14:02","9:15-14:02","9:15-14:02","9:15-14:02","9:15-14:02","9:15-14:02","10:15-10:30","10:35-10:50","10:35-10:50","10:35-10:50","10:55-11:10","10:55-11:10","11:15-11:30","11:15-11:30","11:45-12:15","12:00-12:30","12:00-12:30","12:35-13:05","12:35-13:05","12:35-13:05","13:10-13:40","13:10-13:40",NA,NA,NA,NA,NA,NA,NA,NA,"K","6",444,186,"41.9%",246,"55.4%",414,176,"42.5%",234,"56.5%",37,NA,93,69,201,15,NA,26,22,232,234,NA,35,75,277,22,NA,NA
19642126010912,"regular","abcunified","melbourne(ellap.)elementary","mon"," tues"," weds"," thurs"," fri",5,"9:15-15:25","9:15-15:25","9:15-15:25","9:15-15:25","9:15-15:25","9:15-15:25","9:15-15:25","9:15-15:25","10:40-11:00","10:40-11:00","10:40-11:00","10:40-11:00","10:40-11:00","11:05-11:25","11:05-11:25","11:05-11:25","12:30-13:15","12:30-13:15","12:30-13:15","13:00-13:45","13:00-13:45","13:00-13:45","13:30-14:15","13:30-14:15",NA,NA,NA,NA,NA,NA,NA,NA,"K","6",338,283,"83.7%",312,"92.3%",317,266,"83.9%",294,"92.7%",NA,NA,NA,NA,311,16,NA,NA,NA,191,171,NA,90,80,335,147,NA,11
19642126010912,"early release","abcunified","melbourne(ellap.)elementary",NA,NA,NA,NA,NA,0,"9:15-14:25","9:15-14:25","9:15-14:25","9:15-14:25","9:15-14:25","9:15-14:25","9:15-14:25","9:15-14:25","10:40-11:00","10:40-11:00","10:40-11:00","10:40-11:00","10:40-11:00","11:05-11:25","11:05-11:25","11:05-11:25","12:30-13:15","12:30-13:15","12:30-13:15","13:00-13:45","13:00-13:45","13:00-13:45","13:30-14:15","13:30-14:15",NA,NA,NA,NA,NA,NA,NA,NA,"K","6",338,283,"83.7%",312,"92.3%",317,266,"83.9%",294,"92.7%",NA,NA,NA,NA,311,16,NA,NA,NA,191,171,NA,90,80,335,147,NA,11
19642126010920,"regular","abcunified","hawaiianelementary","mon"," tues"," weds"," thurs"," fri",5,"7:45-13:42","7:45-13:42","7:45-13:52","7:45-13:52","7:45-13:52","7:45-13:52","7:45-13:52","7:45-13:52","9:20-9:40","9:40-10:00","10:00-10:20","10:00-10:20","10:20-10:40","10:20-10:40","10:40-11:00","10:40-11:00","10:50-11:35","11:10-11:55","11:10-11:55","11:10-11:55","12:05-12:50","12:05-12:50","12:05-12:50","12:05-12:50",NA,NA,NA,NA,NA,NA,NA,NA,"K","6",298,262,"87.9%",279,"93.6%",280,249,"88.9%",264,"94.3%",NA,NA,NA,NA,219,87,NA,NA,NA,161,165,NA,117,61,306,190,NA,48
19642126010920,"early release","abcunified","hawaiianelementary",NA,NA,NA,NA,NA,0,"7:45-12:30","7:45-12:30","7:45-12:50","7:45-12:50","7:45-12:50","7:45-12:50","7:45-12:50","7:45-12:50","9:20-9:40","9:40-10:00","10:00-10:20","10:00-10:20","10:20-10:40","10:20-10:40","10:40-11:00","10:40-11:00","10:50-11:35","11:10-11:55","11:10-11:55","11:10-11:55","12:05-12:50","12:05-12:50","12:05-12:50","12:05-12:50",NA,NA,NA,NA,NA,NA,NA,NA,"K","6",298,262,"87.9%",279,"93.6%",280,249,"88.9%",264,"94.3%",NA,NA,NA,NA,219,87,NA,NA,NA,161,165,NA,117,61,306,190,NA,48
19642126010938,"regular","abcunified","kennedy(johnf.)elementary","mon"," tues"," weds"," thurs"," fri",5,"7:45-13:45","7:45-13:45","7:45-13:45","7:45-13:45","7:45-13:45","7:45-13:45","7:45-13:45","7:45-13:45","9:45-10:00","9:45-10:00","9:45-10:00","9:45-10:00","9:45-10:00","9:30-9:45","9:30-9:45","9:30-9:45","11:50-12:30","11:50-12:30","11:50-12:30","11:50-12:30","11:50-12:30","11:30-12:10","11:30-12:10","11:30-12:10",NA,NA,NA,NA,NA,NA,NA,NA,"K","6",398,208,"52.3%",267,"67.1%",365,191,"52.3%",246,"67.4%",29,NA,66,44,229,11,NA,26,22,220,208,NA,40,94,297,20,NA,NA
19642126010938,"early release","abcunified","kennedy(johnf.)elementary",NA,NA,NA,NA,NA,0,"7:45-12:50","7:45-12:50","7:45-12:50","7:45-12:50","7:45-12:50","7:45-12:50","7:45-12:50","7:45-12:50","9:45-10:00","9:45-10:00","9:45-10:00","9:45-10:00","9:45-10:00","9:30-9:45","9:30-9:45","9:30-9:45","11:50-12:30","11:50-12:30","11:50-12:30","11:50-12:30","11:50-12:30","11:30-12:10","11:30-12:10","11:30-12:10",NA,NA,NA,NA,NA,NA,NA,NA,"K","6",398,208,"52.3%",267,"67.1%",365,191,"52.3%",246,"67.4%",29,NA,66,44,229,11,NA,26,22,220,208,NA,40,94,297,20,NA,NA
